details,etat,adresse,prix,image_lien
Kit Ventilateur Clim Solaire,Neuf,Keur Massar                                                                                Dakar,149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
Split Grée 1.5cv 12000btu R410,Neuf,Plateau                                                                                Dakar,149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
SPLIT HISENSE 12000BTU R410 AS12HRASC,Neuf,Plateau                                                                                Dakar,149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
SPLIT HISENSE 18000 BTU INVERTER 2CV R410A,Neuf,Plateau                                                                                Dakar,149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
SPLIT SMART 1CV /9000BTU GAZ 410 2022,Neuf,Plateau                                                                                Dakar,149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
Split 9000btu Smart technology 1cv R410,Neuf,Plateau                                                                                Dakar,149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
Split 12000btu/1.5cv smart technology r410,Neuf,Plateau                                                                                Dakar,149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
SPLIT SHARP 18000 BTU 2.5CV GAZ 410,Neuf,Plateau                                                                                Dakar,149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
SPLIT ICESTREAM 24000 BTU CASSETTE,Neuf,Plateau                                                                                Dakar,149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
Split 1cv/9000btu smart technology r410,Neuf,Plateau                                                                                Dakar,149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
Split Smart technology 12000btu R410,Neuf,Plateau                                                                                Dakar,149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
Kit Ventilateur Clim Solaire,Neuf,Keur Massar                                                                                Dakar,198000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
SPLIT SOLSTAR INVERTER 1.5CV,Neuf,Plateau                                                                                Dakar,198000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
SPLIT SHARP EN CASSETTE 12000BTU,Neuf,Plateau                                                                                Dakar,198000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
SPLIT SAMSUNG ARMOIRE 48000BTU,Neuf,Plateau                                                                                Dakar,198000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
CLIMATISEUR ROCH PORTATIF 9000BTU RAC-PO9-R4-A,Neuf,Plateau                                                                                Dakar,198000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
SPLIT SMART TECHNOLOGY 12000BTU INVERTER,Neuf,Plateau                                                                                Dakar,198000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d3a444b0b5a675500fdb727e14ddeb/-/horizon-files-prod/ed/picture/qj4rkx44/9ebdde3c8c6e87d7ae60ceccf16f2dc9a09f54a0.jpg
