web-scraper-order,web-scraper-start-url,Link_selector,Link_selector-href,Details,Etat,Adresse_location,Adresse_region,Prix,Imgae_lien-src
"1738585069-1","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=220","REFRIGERATEUR HAIER COMBINE HDR 330  4T NOIR
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 12:59
                                    
                    329 900 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/refrigerateur-haier-combine-hdr-330-4t-noir-3317271","REFRIGERATEUR HAIER COMBINE HDR 330  4T NOIR","Neuf","Ouakam","Dakar","329 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a26161c4aa269ff66a646481162d7a81/-/horizon-files-prod/ed/picture/qn8xzmg/d0e0af7fd4ee23bfb2370fd4985e5ebe0f25e845.jpg"
"1738585072-2","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=220","REFRIGERATEUR COMBINE - ASTECH - 3 FC 365L- NOFROST -A+
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 12:59
                                    
                    339 990 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/refrigerateur-combine-astech-3-fc-365l-nofrost-a-3451787","REFRIGERATEUR COMBINE - ASTECH - 3 FC 365L- NOFROST -A+","Neuf","Ouakam","Dakar","339 990 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/47fc653f3fade9c94c7adf13012e5940/-/horizon-files-prod/ed/picture/qzw0d9x/e6251623ec4b4b2d0d8e9585bbad6fc74d45f4e3.jpg"
"1738585074-3","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=220","REFRIGERATEUR - SIDE BY SIDE LG - KNOCK KNOCK
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 12:58
                                    
                    1 899 000 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/refrigerateur-side-by-side-lg-knock-knock-3451806","REFRIGERATEUR - SIDE BY SIDE LG - KNOCK KNOCK","Neuf","Ouakam","Dakar","1 899 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/011669c83c140b522ca6727db02fd1d7/-/horizon-files-prod/ed/picture/qw0624g/dfcbb2970c8513f6487477603ee7ca4ff63985b9.jpg"
"1738585076-4","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=220","REFRIGERATEUR COMBINE - FINIX - 267L -4TIROIRS - GRIS
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 12:58
                                    
                    269 990 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/refrigerateur-combine-finix-267l-4tiroirs-gris-3582558","REFRIGERATEUR COMBINE - FINIX - 267L -4TIROIRS - GRIS","Neuf","Ouakam","Dakar","269 990 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5eaa265fb90f43f0ec7132909ce8fbd/-/horizon-files-prod/ed/picture/qkkp09v/2409d69b5d02de20b08c612f12d5951c5d623b45.jpg"
"1738585079-5","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=220","REFRIGERATEUR - ASTECH - VITRINE - 2 PORTES -
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 12:58
                                    
                    545 000 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/refrigerateur-astech-vitrine-2-portes-2766693","REFRIGERATEUR - ASTECH - VITRINE - 2 PORTES -","Neuf","Ouakam","Dakar","545 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e1f8802b650f15005709763a001ed9f5/-/horizon-files-prod/ed/picture/qnze67e/dbbbaf9e2322eaa030790352d7f169eb709cebc7.jpg"
"1738585081-6","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=220","Réfrigérateur Smart Technology Combiné 3 Tiroirs
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        mardi, 23:52
                                    
                    150 000 F Cfa
                        
                        778885555","https://www.expat-dakar.com/annonce/refrigerateur-smart-technology-combine-3-tiroirs-3616063","Réfrigérateur Smart Technology Combiné 3 Tiroirs","Neuf","Plateau","Dakar","150 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d20b544ed369169dfe8d530f5ff1857d/-/horizon-files-prod/ed/picture/q5ng2d5/9ea0f0d9e7a7a325f363b6bbd8cbff664c12f308.jpg"
"1738585083-7","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=220","Mini congelateur solaire
                                Neuf
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        mardi, 15:05
                                    
                    1 F Cfa
                        
                        782126969","https://www.expat-dakar.com/annonce/mini-congelateur-solaire-3801819","Mini congelateur solaire","Neuf","Mermoz","Dakar","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/44bf3a4b9e0c6aa8381bd4217cc4d2b7/-/horizon-files-prod/ed/picture/q5kpw77/f1abf1a04c89c0cb4eec91e10b468823eebf3552.jpg"
"1738585086-8","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=220","PACKS
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 12:57
                                    
                    125 900 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/packs-4063422","PACKS","Neuf","Ouakam","Dakar","125 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/686d17d4fca332cf28ae5d83cc9dba92/-/horizon-files-prod/ed/picture/q69r2m7/fa12097405088c769edff27269465c9b97e106a3.jpg"
"1738585088-9","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=220","Fontaine Frigo Bar
                                Neuf
                                                                                    Biscuiterie,
                                                                                Dakar
                                    
                                        6. déc. '24, 22:52
                                    
                    100 000 F Cfa
                        
                        782810000
                    
                        338436032
                    
                        706999595","https://www.expat-dakar.com/annonce/fontaine-frigo-bar-4089020","Fontaine Frigo Bar","Neuf","Biscuiterie","Dakar","100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a8e6005b848040580e9a2b2475fbfe03/-/horizon-files-prod/ed/picture/qee2dxj/0fb8bcde213afc9c2138a33241499f50f4ff5e73.jpg"
"1738585091-10","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=220","REFRIGERATEUR SAMSUNG 1 PORTES - 183 L
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 12:56
                                    
                    215 000 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/refrigerateur-samsung-1-portes-183-l-4089767","REFRIGERATEUR SAMSUNG 1 PORTES - 183 L","Neuf","Ouakam","Dakar","215 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/62cd5932b38d6d23260cc08205f81c3a/-/horizon-files-prod/ed/picture/q7z98km/0626039a7420d2cb4787ebbe81195cab4c7b3c63.jpg"
